Name,Text,URL,,
ABX CDC WEBSITE,,http://www.cdc.gov,,
ABX CDSS 2 TEST,Echocardiogram obtained or will be obtained within one week,,,
ABX CDSS 2 TEST 2,At least two blood cultures obtained,,,
ABX CDSS 2 TEST 3,Acute onset endocarditis(< 14 days of symptoms or severely ill patient),,,
ABX CDSS EMAIL PROGRAM TEAM,,mailto:VISN23AntimicrobialCDSS@va.gov,,
ABX CDSS FAQ,CDSS Frequently Asked Questions Document,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Antimicrobial%20CDSS%20Frequently%20Asked%20Questions.pdf?csf=1&web=1&e=dJyUHD,,
ABX CDSS INTRANET,,http://vaww.minneapolis.med.va.gov/providers/cdss/index.html,,
ABX CDSS STAFF EMAIL ADDITIONAL VERBAGE,**Contact the CDSS staff for any questions on navigating the CDSS.Contact Antimicrobial Stewardship for issues regarding antimicrobial stewardship. Contact ID on call for any patient specific questions or for drug approvals outside the CDSS.**,,,
ABX CDSS STAFF EMAIL VERBAGE,"Please select ""Allow"" from the pop-up box and then *WAIT* for Outlook Email to open in browser.Email: VISN23AntimicrobialCDSS@va.govCDSS Staff (call or Skype for immediate assistance):    Erik Stensgard, PharmD, Phone: 612-467-1781 or    Bobbie Masoud, PharmD, Phone: 612-719-6778Antimicrobial Stewardship Staff:    Muthu Narayan, DO, Pager: 612-818-3936 or    Eric Geurkink, PharmD, Pager: 612-818-0841Infectious Diseases on call schedule:",,,
ABX CDSS TEST 4,2/9/02 MNM,,,
ABX CDSS TEST 5,2/9/02 MNM,,,
ABX CDSS TEST 6,2/9/02 MNM,,,
ABX CDSS TEST 7,2/9/02 MNM,,,
ABX CDSS TEST 8,2/9/02 MNM,,,
ABX CDSS TEST 9,2/9/02 MNM,,,
ABX CDSS WEBSITE,Antimicrobial CDSS Website link,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS website\Test Page.htm,,
ABX CHECKLIST FOR DIAGNOSIS,"Obtain YOUR OWN historyPerform a focused, purposeful examEmbark on plan, but ENSURE FOLLOW-UP and FEEDBACKTake a ""Diagnostic Time Out"":",,,
ABX CLC COVID-19 VACCINE INTERIM GUIDANCE,CDC COVID-19 Vaccine Interim Clinical Guidance,https://www.cdc.gov/vaccines/covid-19/clinical-considerations/covid-19-vaccines-us.html,,
ABX CLICK CANCEL,Click cancel when finished.,,,
ABX CLICK FOR DIAGNOSIS HELP UPTODATE,CLICK LINK BELOW FOR DIAGNOSIS HELP FROM UPTODATE:,,,
ABX CLICK LINK BELOW CDC WEBSITE,CLICK the link below...,,,
ABX CLICK LINK BELOW FOR MRSA ALGORITHM,Click link below for removal of contact precautions.,,,
ABX CLICK LINK BELOW INFECT CTRL,CLICK the link below to go to the Minneapolis VAMC Infection Control Intranet...,,,
ABX CLICK LINK FOR RESOURCE DRUGS QTC,Click on the following link for a resource for drugs that cause QTc prolongation.,,,
ABX CLICK LINK FOR SINUSITIS ALGORITHM,Click link below for sinusitis algorithm.,,,
ABX COMPLETE,Complete,,,
ABX CONTACT ED CHARGE NURSE,"After completing all items on this form, press okay to complete order.",,,
ABX CORONAVIRUS CDC WEBSITE,More Information: CDC website Novel Coronavirus,https://www.cdc.gov/coronavirus/2019-ncov/index.html,,
ABX CORONAVIRUS INFORMATION,Novel Coronavirus Information - Mpls VA,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\CORONAVIRUS INFORMATION.pptx,,
ABX CORONAVIRUS MINNEAPOLIS SHAREPOINT,Minneapolis COVID-19 Sharepoint Site,https://dvagov.sharepoint.com/sites/min/SiteDirectory/COVID-19/SitePages/Home.aspx,,
ABX COVID-19 CLINICAL TESTING FORM,Clinical Testing Form,https://www.health.state.mn.us/diseases/idlab/phlsubform.pdf,,
ABX COVID-19 INPT TREATMENT,Minneapolis VAHCS COVID-19 Pharmacologic Inpatient Treatment Guideline,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/COVID-19%20inpatient%20treatment%2012-1-22.pdf?csf=1&web=1&e=OedMA6,,
ABX COVID-19 INTERACTION CHECK,COVID-19 Medication Interaction Check Website Link,https://www.covid19-druginteractions.org/checker,,
ABX COVID-19 INVESTIGATIONAL TREATMENT,COVID-19 Investigational Treatment,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\COVID-19 Investigational Treatment.docx,,
ABX COVID-19 MPLS TREATMENT RECOMMENDATIONS,COVID-19 MPLS Treatment Recommendations,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/04%20COVID19%20Antiviral%20and%20Monoclonal%20Antibody%20Treatment%20SOP%20MVAHCS%2011092022.pdf?csf=1&web=1&e=sv8mEY,,
ABX COVID-19 NO THERAPY SELECTED,Exceeds length of time since symptoms startedPatient did not meet criteria for therapy - list in comment sectionLogistics - intravenous therapy - patient unable to travel to VA Logistics - oral therapy - unable to pick up oral meds from VA Other: Please list in comment section of orderMultiple reasons: Please list in comment section of order,,,
ABX COVID-19 PATIENT TESTING FORM,COVID-19 Patient Testing Form,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\COVID-19 Patient Testing Form.pdf,,
ABX COVID-19 STUDY ELIGIBILTY,COVID-19 Study Eligibilty,https://is.gd/covid19pep,,
ABX COVID-19 STUDY EMAIL,COVID-19 Study Email,mailto:faq.covid19@gmail.com,,
ABX COVID-19 TEST,LaboratoryHome Test,,,
ABX COVID-19 UNDERLYING CONDITIONS,Underlying Medical Conditions Associated Increased Risk,https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-care/underlyingconditions.html,,
ABX COVID-19 VACCINE BOOSTER DOSE CRITERIA,COVID-19 Booster Dose Eligibility Criteria,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/booster-shot.html,,
ABX COVID-19 VACCINE IMMUNOCOMPROMISED INFORMATION,Link to CDC info on COVID-19 Vaccination in Immunocompromised,https://bit.ly/3mEHnmU,,
ABX COVID-19 VACCINE JANSSEN EUA,Link to COVID-19 Vaccine EUA,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Janssen%20COVID-19%20Vaccine%20Patient%20EUA.pdf?csf=1&web=1&e=iKldGi,,
ABX COVID-19 VACCINE PFIZER EUA,Link to COVID-19 Vaccine Pfizer EUA,https://dvagov.sharepoint.com/sites/min/SiteDirectory/COVID-19/SiteAssets/Forms/AllItems.aspx?id=%2Fsites%2Fmin%2FSiteDirectory%2FCOVID%2D19%2FSiteAssets%2FSitePages%2FVaccine%2FVeteran%20COVID%2019%20Vaccination%20Packet%2Epdf&parent=%2Fsi,,
ABX CREATININE CLEARANCE CALCULATOR,Creatinine Clearance Calculator,\\vhav23fpc1\MIN\Services\vamc\CDSS\CreatCalc1.54.exe,,
ABX CV,CARDIOVASCULAR:,,,
ABX DAPSONE G6PD TEST,"Confirm: Patient's lab test NORMAL for G6-PD.Patient already receiving Dapsone, continuation of therapy.",,,
ABX DAPSONE PCP PROPHYLAXIS,Patient to be tested for glucose-6-phosphate dehydrogenase (G6PD) deficiency BEFORE starting Dapsone.Please confirm below:,,,
ABX DATE,,,,
ABX DATE BOX,,,,
ABX DAYS SUPPLY QUANTITY CHECK,"PROVIDER PLEASE NOTE: duration depends on site, type of infection and patient specific factors. REVIEW Days Supply and Quantity prior to accepting order (otherwise order defaults to 90 days supply).",,,
ABX DENTAL ABX PPX SOP,DENTAL ABX PPX SOP,https://dvagov.sharepoint.com/:w:/r/sites/vhav23/CDSS/CDSS%20Resources/DENTAL%20ABX%20PPX%20SOP.docx?d=w352a443499834e6d90c23057dac3d10a&csf=1&web=1&e=w3aPxA,,
ABX DENTAL SOP,Dental SOP Antibiotic Prophylaxis,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Dental%20SOP%202023.pdf?csf=1&web=1&e=eIJXh0,,
ABX DIAGNOSIS CDSS ARTICLE,"""Use of CDSS and Antimicrobial Therapy Appropriateness"" Filice(2013)",\\10.104.8.227\Visn 23\VHA13FPC14\VISN23\CDSS\CDSSStudyArticleICHE.pdf,,
ABX DIAGNOSIS CHECKLIST HEADING 2,"Pause to reflect - take a ""Diagnostic Time Out.""  Short of seeking a second opinion in every case, reflecting on the plausibilty of the working diagnosis may be our best tool to avoid error.",,,
ABX DIAGNOSIS CHECKLIST HEADING 3,"Items to consider during ""Diagnostic Time Out"":",,,
ABX DIAGNOSIS HEADING FOR CHECKLIST,A Checklist for Diagnosis:(Select all items considered),,,
ABX DIAGNOSIS SPECIFIC REFERENCES,DIAGNOSIS SPECIFIC REFERENCES:,http://,,
ABX DIAGNOSIS STUDY MVAHCS,"MVAHCS published study: The initial provider diagnosis was considered correct by reviewers in only 273 (55%) of cases.  Overall, antimicrobial use was more likely to be appropriate if the initial provider diagnosis was correct than if it was incorrect, uncertain, or a sign or symptom rather than a syndrome or disease.",,,
ABX DIAGNOSIS TIME OUT,Was I comprehensive?  Did I consider inherent shortcomings of my intuition?  Was my judgment affected by bias?  Do I need to make diagnosis now or can it wait?  What's the worst case scenario?,,,
ABX DIAGNOSITIC CHECKLIST REFERENCE,"""Checklist to Reduce Diagnostic Errors"" Ely, Academic Medicine 2011",http://journals.lww.com/academicmedicine/Abstract/2011/03000/Checklists_to_Reduce_Diagnostic_Errors.17.aspx,,
ABX DIAGNOSTIC TIME OUT,Was I comprehensive? Did I consider inherent shortcomings of using my intuition? Was my judgment affected by bias? Do I need to make diagnosis now or can it wait? What's the worst case scenario?,,,
ABX DRUG INDICATION EDIT,,,,
ABX DRUG INDICATION HEADER,Indication for antimicrobial(be specific):,,,
ABX DRUG INFORMATION LINKS,For antimicrobial drug information listed alphabetically [Click Here],\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\Drug Information Links.pdf,,
ABX DRUG INFORMATION MANUAL,To manually seach for drug information in Lexicomp [Click Here],https://online.lexi.com/lco/action/home,,
ABX EBOLA CLICK HERE,Please Click Here to go to Ebola Sharepoint Site:,,,
ABX EBOLA NATIONAL SHAREPOINT,National VHA Ebola Sharepoint Site,http://www.publichealth.va.gov/ebola/,,
ABX EBOLA SHAREPOINT SITE,Minneapolis VA Ebola Sharepoint Site,https://vaww.visn23.portal.va.gov/min/SiteDirectory/ebolaqa/SitePages/Home.aspx,,
ABX EMAIL COVID-19 VACCINE COMMUNICATION,E-mail Minneapolis COVID-19 Vaccine Communication,mailto:COVIDVaccineCommunication@va.gov,,
ABX EMAIL VISN23 ANTIMICROBIAL CDSS,E-mail Antimicrobial CDSS Team,https://outlook.office.com/owa/?path=/mail/action/compose&to=[VISN23AntimicrobialCDSS@va.gov]?subject=Antimicrobial CDSS,,
ABX ENDOCARDITIS CLICK LINK,CLICK the link below for the online Prevention of BacterialEndocarditis...,,,
ABX ENDOCARDITIS COMPLETE INFO,Click the link below for the complete information on Prevention of Infective Endocarditis...,,,
ABX ENDOCARDITIS PDF COMPLETE INFO,AHA Prevention of Infective Endocarditis <Link>,https://www.ncbi.nlm.nih.gov/pubmed/17446442,,
ABX EVUSHELD ADMIN RTC 3V MSP INJ CLINIC,x1 RTC LPN *MSP 3V Injection* clinic for Evusheld administration call Hem/Onc MSA x315193 to make appt.,,,
ABX EVUSHELD APPT MSP 3V INJECTION CLINIC,RTC x1 to LPN *MSP 3V Injection* Clinic for Evusheld Administration.Call x315193 Hem/Onc MSA to make appointment.,,,
ABX EVUSHELD INDICATION,Indication for Evusheld:,,,
ABX EVUSHELD PATIENT ED,"Provider: Yes, Evusheld discussed with patient and documented.",,,
ABX EVUSHELD_ALLOCATION,Evusheld Prioritization of Patients (see pages 7-8),https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Evusheld_%20Allocation.pdf?csf=1&web=1&e=r13gCk,,
ABX EVUSHELD_PATIENT,Evusheld Patient Fact Sheet,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Evusheld_patient.pdf?csf=1&web=1&e=id8nd5,,
ABX EVUSHELD_PROVIDER,Evusheld Health Care Provider Fact Sheet,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Evusheld_provider.pdf?csf=1&web=1&e=YS1jkP,,
ABX FDA FORM 3926,FDA Form 3926,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\FDA Form 3926.pdf,,
ABX GENERIC CLICK LINK BELOW,Click on link below:,,,
ABX GENERIC CLICK LINK BELOW II,Click on link below for more information:,,,
ABX GENITOURINARY HEADING,GENITOURINARY INDICATION:,,,
ABX GI,GI/INTRAABDOMINAL:,,,
ABX GI AND INTRAABDOMINAL HEADING,GI AND INTRAABDOMINAL HEADING:,,,
ABX GILEAD INFORMED CONSENT,Gilead Informed Consent,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\Gilead Informed Consent.docx,,
ABX GU,GENITOURINARY:,,,
ABX HEAD LICE PDF CLICK LINK BELOW,Click the link below for the treating Head Lice PDF file...,,,
ABX HEAD LICE PDF FILE,,http://www.cdc.gov/ncidod/dpd/parasites/lice/2004_PDF_Treating_head_lice.pdf,,
ABX HEPATITIS B ONCOLOGY SHAREPOINT URL,Hepatitis B Oncology SharePoint Site,http://vaww.infoshare.va.gov/sites/MedicalSurgical/oncology/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2FMedicalSurgical%2Foncology%2FShared%20Documents%2FHepatitis%20Reactivation&FolderCTID=0x01200027D225AC89B63F4AB92E69554,,
ABX HYDROXYCHLOROQUINE COVID RADIO BUTTONS,Dr.DevriesDr.DrekonjaDr.JohnsonDr.KakaDr.NarayanDr.Pragman,,,
ABX HYDROXYCHLOROQUINE COVID TEXT,*ID approval required*- Select ID staff who approved:,,,
ABX HYDROXYCHLOROQUINE OFF-LABEL COVID,FAQ: Hydroxychloroquine Off-Label Use COVID-19,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\COVID FAQ.pdf,,
ABX ID ATTESTATION,I attest that I am an ID staff provider who is an EAP investigator for tecovirimat.,,,
ABX IDP ACYCLOVIR SANFORD,12   Acyclovir,https://dva.sanfordguide.com/drug-information/antiviral-agents/herpesvirus/acyclovir,,
ABX IDP ALBENDAZOLE SANFORD,16   Albendazole,https://dva.sanfordguide.com/drug-information/antiparasitic-agents/albendazole,,
ABX IDP AMANTADINE SANFORD,18   Amantadine,https://dva.sanfordguide.com/drug-information/antiviral-agents/influenza/amantadine,,
ABX IDP AMIKACIN SANFORD,20   Amikacin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/amino-glycosides/amikacin,,
ABX IDP AMOXICILLIN SANFORD,22   Amoxicillin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/amino-penicillins/amoxicillin,,
ABX IDP AMOXICILLIN-CLAVULANATE SAN,24   Amoxicillin-Clavulanate,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/amino-penicillins/amoxicillin-clavulanate,,
ABX IDP AMPHOTERICIN B SANFORD,26   Amphotericin B Liposomal (Ambisome),https://dva.sanfordguide.com/drug-information/antifungal-agents/ampho-b-family-polyenes/amphotericin-b,,
ABX IDP AMPICILLIN SANFORD,28   Ampicillin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/amino-penicillins/ampicillin,,
ABX IDP AMPICILLIN-SULBACTAM SANFORD,30   Ampicillin-sulbactam,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/amino-penicillins/ampicillin-sulbactam,,
ABX IDP ATOVAQUONE SANFORD,32   Atovaquone,https://dva.sanfordguide.com/drug-information/antiparasitic-agents/atovaquone-proguanil,,
ABX IDP AZITHROMYCIN SANFORD,34   Azithromycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/macrolides/azithromycin,,
ABX IDP AZTREONAM SANFORD,38   Aztreonam,https://dva.sanfordguide.com/drug-information/antibacterial-agents/monobactam/aztreonam,,
ABX IDP BENZATHINE PENICILLIN SANFORD,46   Benzathine Penicillin IM,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/penicillin-g,,
ABX IDP CASPOFUNGIN,50   Caspofungin,https://dva.sanfordguide.com/drug-information/antifungal-agents/echinocandins/caspofungin,,
ABX IDP CEFADROXIL SANFORD,51   Cefadroxil,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/oral/1st-generation/cefadroxil,,
ABX IDP CEFAZOLIN SANFORD,52   Cefazolin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/parenteral/1st-generation/cefazolin,,
ABX IDP CEFEPIME SANFORD,54   Cefepime,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/parenteral/3rd-4th-generation/cefepime,,
ABX IDP CEFIXIME,56   Cefixime,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/oral/3rd-generation/cefixime,,
ABX IDP CEFOTETAN SANFORD,58   Cefotetan,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/parenteral/2nd-generation/cefotetan,,
ABX IDP CEFOXITIN SANFORD,60   Cefoxitin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/parenteral/2nd-generation/cefoxitin,,
ABX IDP CEFPODOXIME SANFORD,62   Cefpodoxime,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/oral/3rd-generation/cefpodoxime-proxetil,,
ABX IDP CEFTAZIDIME SANFORD,64   Ceftazidime,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/parenteral/3rd-4th-generation/ceftaz-1,,
ABX IDP CEFTRIAXONE SANFORD,66   Ceftriaxone,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/parenteral/3rd-4th-generation/ceftriaxone,,
ABX IDP CEFUROXIME IV SANFORD,69   Cefuroxime IV,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/parenteral/2nd-generation/cefuroxime,,
ABX IDP CEFUROXIME ORAL SANFORD,70   Cefuroxime axetil Oral,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/oral/2nd-generation/cefuroxime-axetil,,
ABX IDP CEPHALEXIN SANFORD,72   Cephalexin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/cephalosporins/oral/1st-generation/cephalexin,,
ABX IDP CHLORAMPHENICOL SANFORD,74   Chloramphenicol,https://dva.sanfordguide.com/drug-information/antibacterial-agents/chloramphenicol,,
ABX IDP CIPROFLOXACIN SANFORD,76   Ciprofloxacin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/fluoroquinolones/ciprofloxacin,,
ABX IDP CLARITHROMYCIN SANFORD,80   Clarithromycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/macrolides/clarithromycin,,
ABX IDP CLINDAMYCIN SANFORD,82   Clindamycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/clindamycin-1/clindamycin,,
ABX IDP CLOTRIMAZOLE TOPICAL LEXI,84   Clotrimazole,http://www.uptodate.com/contents/search.do?unid=minmasoub&srcsys=UTD187508&eiv=2.1.0,,
ABX IDP DAPTOMYCIN SANFORD,100  Daptomycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/glyco-lipoglyco-peptides/daptomycin,,
ABX IDP DICLOXACILLIN SANFORD,102  Dicloxacillin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/antistaphylo-coccal-penicillins/dicloxacin,,
ABX IDP DOLUTEGRAVIR SANFORD,104  Dolutegravir,https://dva.sanfordguide.com/drug-information/antiretroviral-agents/dolutegravir,,
ABX IDP DOXYCYCLINE SANFORD,106  Doxycycline,https://dva.sanfordguide.com/drug-information/antibacterial-agents/tetra-cyclines/doxycycline,,
ABX IDP EMTRICITABINE + TENOFOVIR SANFORD,110  Emtricitabine + Tenofovir (Truvada),https://dva.sanfordguide.com/drug-information/antiretroviral-agents/truvada,,
ABX IDP ERTAPENEM SANFORD,112  Ertapenem,https://dva.sanfordguide.com/drug-information/antibacterial-agents/carbapenems/ertapenem,,
